Xref	Yref	Xinit	Yinit
754319.78448202996514738	6491395.76838206220418215	754203.87817486678250134	6491310.74467330519109964
755217.67205492686480284	6492393.76054246537387371	755112.56706999393645674	6492277.94485351629555225
756783.23446058423724025	6490211.2705749711021781	756714.27567612717393786	6490199.90080736670643091
758776.45381758466828614	6491970.35492568928748369	758630.00702022283803672	6491977.4714247127994895
759068.89232768537476659	6490333.07715863082557917	758936.66634305007755756	6490365.37611688952893019
759080.6259308832231909	6489251.40500002074986696	759002.24034562543965876	6489257.63752350863069296
757834.05225942120887339	6488733.85599003452807665	757766.23780845664441586	6488708.19483687169849873
759231.81176123826298863	6488459.33276555687189102	759210.75428673473652452	6488442.78544467035681009
759684.89120131998788565	6486094.05054957140237093	759700.3547371692257002	6486015.6874403627589345
758093.51915781188290566	6484020.88143281452357769	758155.22477742098271847	6483999.05479278694838285
757677.03920084470883012	6480792.97330464981496334	757766.61996830638963729	6480737.64545664470642805
758772.9161665290594101	6478859.8986173402518034	758863.74110634007956833	6478853.4194208113476634
758813.80271128308959305	6476254.35563336499035358	758925.86119275353848934	6476235.61004545353353024
760427.03693382616620511	6473022.25963920913636684	760569.99658611509948969	6473040.20876897592097521
759999.0704679946647957	6483658.75802794471383095	760084.18615986872464418	6483661.89008856099098921
760321.15490768582094461	6482341.10727694444358349	760358.84913083002902567	6482339.83932867273688316
764992.44885991595219821	6491794.35604536347091198	764946.26482910837512463	6491786.13751350250095129
767064.87837304710410535	6492219.7264379458501935	767048.37023138266522437	6492245.26175186969339848
771181.52996416355017573	6491388.72472356725484133	771124.35145296447444707	6491511.2053767004981637
773315.56003485748078674	6490003.1199119733646512	773274.76909133640583605	6490096.62323193904012442
762735.39181985019240528	6487743.44861521199345589	762734.09277080791071057	6487705.68577332608401775
765966.074320133542642	6484646.99627764243632555	765981.26037064276169986	6484659.38517292309552431
761989.88449764787219465	6485045.67867197748273611	762008.99176911055110395	6485030.6370441010221839
760789.50379242736380547	6481724.48229834903031588	760870.34222093084827065	6481699.14058369863778353
763826.5037736080121249	6482489.07843782939016819	763853.80807488318532705	6482512.96245619188994169
763902.23844393657054752	6480804.79513869341462851	763976.75460984033998102	6480741.96011303272098303
763026.24806332553271204	6478976.76510940492153168	763118.1081856566015631	6478972.94772505015134811
764089.94767107290681452	6477382.81113734841346741	764200.64150350203271955	6477407.46779491566121578
762675.00719191343523562	6474781.77990098390728235	762817.90916914935223758	6474775.23552966676652431
765515.22916957188863307	6473617.23183313850313425	765629.55944976396858692	6473692.0016488078981638
765238.09480996837373823	6475259.01605912018567324	765358.78529740835074335	6475215.51820690743625164
771095.7211347158299759	6473185.25141636375337839	771197.40985644876491278	6473221.50264871120452881
769517.84975913213565946	6474966.3540310263633728	769655.21510844770818949	6474970.70113622769713402
769016.09725840587634593	6477145.42431739252060652	769070.35424746945500374	6477174.01960109919309616
770022.54657513974234462	6479128.97300133109092712	770060.16054944228380919	6479125.9194351052865386
772591.88366432744078338	6480236.94226949103176594	772624.10111766261979938	6480298.09740511048585176
768866.8627577741863206	6482030.16073982790112495	768878.67364018212538213	6482047.71007358562201262
767706.04796502832323313	6481010.18412097729742527	767747.3502169573912397	6480980.9813052574172616
770526.76618555292952806	6481432.12680051848292351	770540.75398983526974916	6481432.30261361971497536
771466.1127106249332428	6478935.35769137553870678	771561.87864552054088563	6478991.29905826598405838
775055.66689751239027828	6479053.12900548242032528	775042.12376223760657012	6479176.71993214078247547
773677.6132153730140999	6477086.34591162111610174	773720.55192121223080903	6477170.94200557842850685
772833.50360602280125022	6475696.02384056150913239	772911.34468333714175969	6475767.67449632845818996
774535.13060913898516446	6474767.61768379248678684	774577.91449896420817822	6474848.2536064749583602
774055.67711904703173786	6473623.56290460098534822	774104.41048664529807866	6473702.1944587966427207
775885.3736024321988225	6474286.42784265801310539	775960.29872562049422413	6474369.65864893421530724
774508.89275917573831975	6480986.24815038219094276	774597.58855250710621476	6481099.84171105828136206
773646.63282098446507007	6482374.97130989190191031	773627.73366563115268946	6482415.72080246359109879
773504.28651103877928108	6482624.02102549467235804	773461.32064659462776035	6482694.41879182495176792
773044.31923224648926407	6483157.41542377881705761	773081.52741397672798485	6483211.65848849527537823
771489.11732620315160602	6484532.38062935322523117	771520.84972156654112041	6484540.24326694197952747
773612.81663621496409178	6485789.30996925011277199	773593.01941801887005568	6485884.49024682398885489
769109.10429616074543446	6486288.75718730967491865	769039.01475384249351919	6486285.25899172201752663
770162.90921453514602035	6487715.25667320005595684	770126.36585177632514387	6487728.08281927555799484
772003.07182301359716803	6489512.93923203833401203	772013.12090119847562164	6489602.17190736345946789
769766.36474123073276132	6489383.20115335006266832	769741.74718144501093775	6489472.26915566436946392
766956.88671963103115559	6488318.18258722126483917	766898.8175552956527099	6488298.97011168114840984
763821.10984148690477014	6489890.4183533675968647	763797.11267503059934825	6489910.0039107883349061
765999.39943542971741408	6492199.09031045250594616	766006.8728299206122756	6492202.31986881792545319
754891.63655883620958775	6483896.15279563516378403	754995.61158771091140807	6483836.58290009573101997
